timestamp,state_0,state_1,state_2,state_3,state_4,state_5,action,reward
1780295821.9706993,0.01,0.05,7.5219555,0.3783917,0.0,0.0,1,1.0
1780295821.9773989,0.01,0.05,7.5219555,0.3783917,0.0,0.0,1,1.0
1780295821.9868603,0.01,0.05,7.468416,0.38747483,0.0,1.0,1,1.0
1780295821.995321,0.01,0.05,7.430335,0.38873875,0.0,1.0,1,1.0
1780295822.0027366,0.01,0.05,7.214912,0.4072956,0.0,1.0,1,1.0
1780295822.0079489,0.01,0.05,7.214912,0.4072956,0.0,1.0,1,1.0
1780295822.0148957,0.01,0.05,7.0341125,0.35674214,0.0,1.0,1,1.0
1780295822.0223825,0.01,0.05,6.7209415,0.3506092,0.0,1.0,1,1.0
1780295822.0297675,0.01,0.05,6.435294,0.37955657,0.0,1.0,1,1.0
1780295822.0351298,0.01,0.05,6.435294,0.37955657,0.0,1.0,1,1.0
1780295822.0411963,0.01,0.05,6.5808873,0.41994494,0.0,1.0,1,1.0
1780295822.0485466,0.01,0.05,6.583413,0.53766394,0.0,1.0,1,1.0
1780295822.0559664,0.01,0.05,6.6941285,0.42004776,0.0,1.0,1,1.0
1780295822.0612578,0.01,0.05,6.6941285,0.42004776,0.0,1.0,1,1.0
1780295822.0680225,0.01,0.05,7.0056887,0.38009804,0.0,1.0,1,1.0
1780295822.0760078,0.01,0.05,7.333836,0.35281804,0.0,1.0,1,1.0
1780295822.0835562,0.01,0.05,7.5430574,0.50418663,0.0,1.0,1,1.0
1780295822.0886848,0.01,0.05,7.5430574,0.35418662,0.0,1.0,1,1.0
1780295822.0947735,0.01,0.05,7.377953,0.5431687,0.0,1.0,1,1.0
1780295822.1022913,0.01,0.05,7.2627897,0.5683045,0.0,1.0,1,1.0
1780295822.109387,0.01,0.05,7.407274,0.58612496,0.0,1.0,1,1.0
1780295822.1146345,0.01,0.05,7.407274,0.58612496,0.0,1.0,1,1.0
1780295822.120854,0.01,0.05,7.4021196,0.52615106,0.0,1.0,1,1.0
1780295822.1289418,0.01,0.05,7.4255958,0.5317352,0.0,1.0,1,1.0
1780295822.1366916,0.01,0.05,7.2497535,0.5695705,0.0,1.0,1,1.0
1780295822.1421816,0.01,0.05,7.2497535,0.5695705,0.0,1.0,1,1.0
1780295822.1482792,0.01,0.05,7.0038905,0.3972944,0.0,1.0,1,1.0
1780295822.155675,0.01,0.05,7.179577,0.39225683,0.0,1.0,1,1.0
1780295822.1628368,0.01,0.05,6.8667994,0.41111934,0.0,1.0,1,1.0
1780295822.16823,0.01,0.05,6.8667994,0.41111934,0.0,1.0,1,1.0
1780295822.1745005,0.01,0.05,7.1960454,0.42327946,0.0,1.0,1,1.0
1780295822.1822,0.01,0.05,7.239237,0.38190404,0.0,1.0,1,1.0
1780295822.1895235,0.01,0.05,7.5565624,0.40059477,0.0,1.0,1,1.0
1780295822.1947887,0.01,0.05,7.5565624,0.55059475,0.0,1.0,1,1.0
1780295822.2009816,0.01,0.05,7.310154,0.437302,0.0,1.0,1,1.0
1780295822.2087753,0.01,0.05,7.433354,0.5343787,0.0,1.0,1,1.0
1780295822.2172222,0.01,0.05,7.24333,0.57994455,0.0,1.0,1,1.0
1780295822.2232041,0.01,0.05,7.24333,0.57994455,0.0,1.0,1,1.0
1780295822.22972,0.01,0.05,7.358466,0.55911225,0.0,1.0,1,1.0
1780295822.2370002,0.01,0.05,7.759242,0.5659221,0.0,1.0,1,1.0
1780295822.2443914,0.01,0.05,7.6279454,0.56991404,0.0,1.0,1,1.0
1780295822.2494283,0.01,0.05,7.6279454,0.56991404,0.0,1.0,1,1.0
1780295822.255722,0.01,0.05,7.942295,0.54818326,0.0,1.0,1,1.0
1780295822.2637634,0.01,0.05,7.574617,0.5489838,0.0,1.0,1,1.0
1780295822.2736876,0.01,0.05,7.496246,0.5437194,0.0,1.0,1,1.0
1780295822.279424,0.01,0.05,7.496246,0.5437194,0.0,1.0,1,1.0
1780295822.2858448,0.01,0.05,7.298475,0.54768336,0.0,1.0,1,1.0
1780295822.2930768,0.01,0.05,7.3647957,0.46252596,0.0,1.0,1,1.0
1780295822.3013783,0.01,0.05,7.2297106,0.40399995,0.0,1.0,1,1.0
1780295822.3069346,0.01,0.05,7.2297106,0.55399996,0.0,1.0,1,1.0
1780295822.3138852,0.01,0.05,7.5064793,0.41045022,0.0,1.0,1,1.0
1780295822.3214927,0.01,0.05,7.653578,0.4360014,0.0,1.0,1,1.0
1780295822.328778,0.01,0.05,7.54531,0.38961592,0.0,1.0,1,1.0
1780295822.334018,0.01,0.05,7.54531,0.5396159,0.0,1.0,1,1.0
1780295822.3401735,0.01,0.05,7.627246,0.5047139,0.0,1.0,1,1.0
